name,category,image,lat,lng,address,description,住所,紹介,gx_media_links,参加形態,出展日,営業時間,電話番号,Web,YouTube
うるしの里会館,越前漆器,images/icon-1.png,35.9530831,136.2740677,うるしの里会館,"<img src=""https://doc-04-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/e51vgb4s4q74t0li7c57t37e7c/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGrC9Id1iFDl485e_WCoRQJkysebnSNWgRRrGIWdM8t0wZmvjoQPWJsMEnubnWW6En7TyIBTVEy9OPPqedPknYdKIwVAs3oPJHeWywbxBD9Y8_IbU8mfkuDUfOb2rHmXHXjTARHd3yHHVcBbTyC46JG4x1-aHkRNu4RTAcPJb3mn7rbl5FrA_T681J6A0wjeX3PnJTsottMYqGg5EI4GP3kgqFwOFdWrX7ZpYaPSrxAiKn8?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916-1221 福井県鯖江市西袋町40-1-2　うるしの里会館<br>参加形態: <br>紹介: 総合案内所<br><br>（飲食店あり）<br>【山うにの里 ほやっ停】<br>6-8日 10:00-17:00<br><br>【くめちゃん】<br>6-8日 10:00-17:00<br><br>【雲職人ニュアージュ】<br>7・8日10:00-17:00<br><br>【AmigoTacos】<br>7・8日 10:00-17:00<br><br>【大吉餅】<br>7・8日10:00-17:00<br><br>【ミート&デリカささき】<br>7・8日10:00-17:00<br><br>【Happy's Eat(ハピスイート)】<br>6-8日10:00-17:00<br>出展日: <br>営業時間: <br>電話番号: <br>Web: <br>YouTube: ",〒916-1221 福井県鯖江市西袋町40-1-2　うるしの里会館,"総合案内所

（飲食店あり）
【山うにの里 ほやっ停】
6-8日 10:00-17:00

【くめちゃん】
6-8日 10:00-17:00

【雲職人ニュアージュ】
7・8日10:00-17:00

【AmigoTacos】
7・8日 10:00-17:00

【大吉餅】
7・8日10:00-17:00

【ミート&デリカささき】
7・8日10:00-17:00

【Happy's Eat(ハピスイート)】
6-8日10:00-17:00",https://doc-04-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/e51vgb4s4q74t0li7c57t37e7c/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGrC9Id1iFDl485e_WCoRQJkysebnSNWgRRrGIWdM8t0wZmvjoQPWJsMEnubnWW6En7TyIBTVEy9OPPqedPknYdKIwVAs3oPJHeWywbxBD9Y8_IbU8mfkuDUfOb2rHmXHXjTARHd3yHHVcBbTyC46JG4x1-aHkRNu4RTAcPJb3mn7rbl5FrA_T681J6A0wjeX3PnJTsottMYqGg5EI4GP3kgqFwOFdWrX7ZpYaPSrxAiKn8?fife,,,,,,
漆琳堂,越前漆器,images/icon-1.png,35.953483,136.274917,漆琳堂,"<img src=""https://doc-14-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/3k8tsqk814jkedlni7iua3bb2g/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGrI269lK5lQnxqvqBXNsseEEDAIlOrrRnTdiZmRtOd38-ln7hARfvkSMIylTQM0BEkhCJrmn9sh3I69rMN7gE8vy68pi13H3vb7O88LJUP9Msxv9ZcQIuWaNB_MtfqPS5vmAqfKVT4Ew4nSKgHlcbNRn1XklAi-zki-eSJtpqhgDTKe0fdxCvnDLE_9EjHTgZ1Sjj-1mJFChkWdbr9Z3aj3JUWy3omExKTugVKlzR2Qx50?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916-1221 福井県鯖江市西袋町701<br>参加形態: 工房（見学・展示）, 販売, ワークショップ<br>紹介: 1793年創業。「aisomo cosomo」や「お椀や うちだ」、「RIN&CO.」の自社ブランドを立ち上げ、2016年に漆琳堂直営店をオープン。江戸時代から続く漆琳堂の仕事を実際にご覧いただけます。<br><br>(併設)<br>【とべーぐる砺波マチナカ店】<br>　7・8日 10:00-14:00<br><br>【SHIBA COFFEE】<br>　7・8日 10:00-15:00<br><br>【スパイシーカレーゆうゆう】<br>　7・8日 10:00-16:00<br><br>【Gaia kitchen】<br>　7・8日 11:00-15:00<br><br>出展日: 6-8日<br>営業時間: 10:00-17:00<br>電話番号: 0778-65-0630<br>Web: http://shitsurindo.com/<br>YouTube: https://youtu.be/y64gMTXVfQU?si=TvKeztLrEHX9ikOx",〒916-1221 福井県鯖江市西袋町701,"1793年創業。「aisomo cosomo」や「お椀や うちだ」、「RIN&CO.」の自社ブランドを立ち上げ、2016年に漆琳堂直営店をオープン。江戸時代から続く漆琳堂の仕事を実際にご覧いただけます。

(併設)
【とべーぐる砺波マチナカ店】
　7・8日 10:00-14:00

【SHIBA COFFEE】
　7・8日 10:00-15:00

【スパイシーカレーゆうゆう】
　7・8日 10:00-16:00

【Gaia kitchen】
　7・8日 11:00-15:00
",https://doc-14-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/3k8tsqk814jkedlni7iua3bb2g/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGrI269lK5lQnxqvqBXNsseEEDAIlOrrRnTdiZmRtOd38-ln7hARfvkSMIylTQM0BEkhCJrmn9sh3I69rMN7gE8vy68pi13H3vb7O88LJUP9Msxv9ZcQIuWaNB_MtfqPS5vmAqfKVT4Ew4nSKgHlcbNRn1XklAi-zki-eSJtpqhgDTKe0fdxCvnDLE_9EjHTgZ1Sjj-1mJFChkWdbr9Z3aj3JUWy3omExKTugVKlzR2Qx50?fife,"工房（見学・展示）, 販売, ワークショップ",6-8日,10:00-17:00,0778-65-0630,http://shitsurindo.com/,https://youtu.be/y64gMTXVfQU?si=TvKeztLrEHX9ikOx
Hacoa,越前漆器,images/icon-1.png,35.95455139999999,136.2766348,Hacoa,"<img src=""https://doc-0c-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/cjav3cdolkmsh9gpdo4gpmcodk/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGrmp8kF_BSNDFzf7O-2YNEoE75PkIqy8aiJOx7TeJ8dc1Au8r9U4LiRLDNk7ueMnp4DUcP2TAzhgEDO-en-v-gdicjUdShBXKvAhV4ASwjtRcOl1RonLkoIlOG_R0mwBF_4YwBIuquIePWz0Rn1sTnGdh5cxMTXob3S62fw42SeQGsHNPYjH9fw6_WZxAS_CNlp4F8CYgNy6_ztc0ewWpYzjI6GyHDn5sxi8WeucIfRLTw?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916-1221 福井県鯖江市西袋町503<br>参加形態: 工房（見学・展示）, 販売, ワークショップ, 飲食・イベント<br>紹介: 2001年誕生の木製デザイン雑貨ブランド。越前漆器の木地づくりの技術力で、インテリア用品やキッチン、PC周りのアイテムなど、領域にとらわれないものづくりを、デザインから製作まで一貫して行っています。<br><br>(併設)<br>【WoodWood Coffee Roast Service】<br>　6-8日 11:00-15:00<br><br>【Cafe &Guesthouseココラカラ】<br>　7日 11:00-15:00<br><br>【はごろもシフォン】<br>　8日 10:00-17:00<br><br>【cafe sumu】<br>　6-8日10:30-17:00<br><br>出展日: 6-8日<br>営業時間: 10:00-18:00<br>電話番号: 0778-65-3112<br>Web: https://hacoa.com/directstore/renew-2023/<br>YouTube: ",〒916-1221 福井県鯖江市西袋町503,"2001年誕生の木製デザイン雑貨ブランド。越前漆器の木地づくりの技術力で、インテリア用品やキッチン、PC周りのアイテムなど、領域にとらわれないものづくりを、デザインから製作まで一貫して行っています。

(併設)
【WoodWood Coffee Roast Service】
　6-8日 11:00-15:00

【Cafe &Guesthouseココラカラ】
　7日 11:00-15:00

【はごろもシフォン】
　8日 10:00-17:00

【cafe sumu】
　6-8日10:30-17:00
",https://doc-0c-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/cjav3cdolkmsh9gpdo4gpmcodk/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGrmp8kF_BSNDFzf7O-2YNEoE75PkIqy8aiJOx7TeJ8dc1Au8r9U4LiRLDNk7ueMnp4DUcP2TAzhgEDO-en-v-gdicjUdShBXKvAhV4ASwjtRcOl1RonLkoIlOG_R0mwBF_4YwBIuquIePWz0Rn1sTnGdh5cxMTXob3S62fw42SeQGsHNPYjH9fw6_WZxAS_CNlp4F8CYgNy6_ztc0ewWpYzjI6GyHDn5sxi8WeucIfRLTw?fife,"工房（見学・展示）, 販売, ワークショップ, 飲食・イベント",6-8日,10:00-18:00,0778-65-3112,https://hacoa.com/directstore/renew-2023/,
土直漆器,越前漆器,images/icon-1.png,35.9544499,136.27777,土直漆器,"<img src=""https://doc-08-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/soc24r7gu88r4kprbbaf6h3bpk/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGp6ahAKHjQEaWxh7UJn2AddPH--lkGcs8wVJ3r8OJaXaXTmOJl_yEaWNLrHCw4a5EwW_D6mWcYi6GopwCW1JWLYEAj0GFg1_7p-_KdqDjr7z4ZZ9m4G8doJkASnOuJtkcv6nXaa1a2LTaMCHw62j9RhEQddnZI7Xu7nwlbOQdBlIwZ6O2t4HKWrbtseakmRQyOBCN2eopcuU5mESvFg8hBmR2hwPjCNGlRlhikT-3y6jzQ?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916-1221福井県鯖江市西袋町214<br>参加形態: 工房（見学・展示）, 販売, ワークショップ<br>紹介: 土直漆器では伝統を重んじつつも常に新しい発想で商品作りを行っております。素地以外の全ての工程を一貫して作っているのも特徴のひとつで若いスタッフの感性とベテラン職人の技が融合し現代のニーズに応えたモノ作りを心がけています。<br>出展日: 6-8日<br>営業時間: 10:00-17:00<br>電話番号: 0778-65-0509<br>Web: http://www.tsuchinao.com/<br>YouTube: ",〒916-1221福井県鯖江市西袋町214,土直漆器では伝統を重んじつつも常に新しい発想で商品作りを行っております。素地以外の全ての工程を一貫して作っているのも特徴のひとつで若いスタッフの感性とベテラン職人の技が融合し現代のニーズに応えたモノ作りを心がけています。,https://doc-08-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/soc24r7gu88r4kprbbaf6h3bpk/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGp6ahAKHjQEaWxh7UJn2AddPH--lkGcs8wVJ3r8OJaXaXTmOJl_yEaWNLrHCw4a5EwW_D6mWcYi6GopwCW1JWLYEAj0GFg1_7p-_KdqDjr7z4ZZ9m4G8doJkASnOuJtkcv6nXaa1a2LTaMCHw62j9RhEQddnZI7Xu7nwlbOQdBlIwZ6O2t4HKWrbtseakmRQyOBCN2eopcuU5mESvFg8hBmR2hwPjCNGlRlhikT-3y6jzQ?fife,"工房（見学・展示）, 販売, ワークショップ",6-8日,10:00-17:00,0778-65-0509,http://www.tsuchinao.com/,
ろくろ舎,越前漆器,images/icon-1.png,35.9539467,136.2774781,ろくろ舎,"<img src=""https://doc-0o-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/lgccchs8v01gnoj4dr5mo813gg/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGpAFTWe00LihOsz2M9ntsMgk2jlG8zSpnQBDQJAQnhTfqwohmXJs4Xd7cIr68BEzGb2K7RNrVNDyt-rQgEazPsTXNFpUfB1Atlb25f0cuRVMRCBdneUtlCynSXhapuodCXOu-p3D5qE_Fq7DHMUqglIUmr9E-E0z0lngXm6uunEF2--r4f2YLVXY_0qvNIgnj5F9UWHHVfN0W_j9JAaA1MZKhjwy0ULg-7NzYjRi4GJc6c?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916-1221 福井県鯖江市西袋町512<br>参加形態: 工房（見学・展示）, 販売, ワークショップ<br>紹介: 伝統的な丸物木地師としての技術を継承しながら、<br>「価値の再定義」をコンセプトに、木材を中心に<br>素材、製法にこだわることなくプロダクトを製作。<br>出展日: 6-8日<br>営業時間: 10:00-17:00<br>電話番号: なし<br>Web: http://rokurosha.jp<br>YouTube: ",〒916-1221 福井県鯖江市西袋町512,"伝統的な丸物木地師としての技術を継承しながら、
「価値の再定義」をコンセプトに、木材を中心に
素材、製法にこだわることなくプロダクトを製作。",https://doc-0o-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/lgccchs8v01gnoj4dr5mo813gg/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGpAFTWe00LihOsz2M9ntsMgk2jlG8zSpnQBDQJAQnhTfqwohmXJs4Xd7cIr68BEzGb2K7RNrVNDyt-rQgEazPsTXNFpUfB1Atlb25f0cuRVMRCBdneUtlCynSXhapuodCXOu-p3D5qE_Fq7DHMUqglIUmr9E-E0z0lngXm6uunEF2--r4f2YLVXY_0qvNIgnj5F9UWHHVfN0W_j9JAaA1MZKhjwy0ULg-7NzYjRi4GJc6c?fife,"工房（見学・展示）, 販売, ワークショップ",6-8日,10:00-17:00,なし,http://rokurosha.jp,
丸廣意匠,越前漆器,images/icon-1.png,35.9550128,136.280876,丸廣意匠,"<img src=""https://doc-0s-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/1nriscsii9v5dtpokqg2aqgnpk/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGop98D-OR7HbH8AP2Mxrr_VLp1us2x6CGAW1e7ilcPzRoYp_zHWCoe9HwUVicp95llKYjVf9YU9A-gHpz18DQ6N-MCNIDqCcJi1pfXVakapfa5HAIoAM2tuH_mkrNjfMnU1MU3U7r1nJPJKG4jYHVyfNg2M080dEP0l40VaAtmMfd9svgA3OR29xF7scj6WGX1udtZjZSj45f0d4WTWl2giqju6mtmeyVD0nnMSV4LgKpk?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916−1237福井県鯖江市北中町535<br>参加形態: 工房（見学・展示）, 販売<br>紹介: 1983年創業、木製品を中心とした吹付塗装会社。伝統的技法に限らず、新たな塗装の表情を模索している。2018年より、デッドストックに塗装を施して再生させる企画「MARUHIRO SPRAY」を展開。<br>出展日: 6-8日<br>営業時間: 10:00-17:00<br>電話番号: 0778-65-2209<br>Web: https://maruhiro-isho.com<br>YouTube: https://youtu.be/6Ukjzr8IJ9w?si=EcIzpLLLQW01cVzd",〒916−1237福井県鯖江市北中町535,1983年創業、木製品を中心とした吹付塗装会社。伝統的技法に限らず、新たな塗装の表情を模索している。2018年より、デッドストックに塗装を施して再生させる企画「MARUHIRO SPRAY」を展開。,https://doc-0s-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/1nriscsii9v5dtpokqg2aqgnpk/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGop98D-OR7HbH8AP2Mxrr_VLp1us2x6CGAW1e7ilcPzRoYp_zHWCoe9HwUVicp95llKYjVf9YU9A-gHpz18DQ6N-MCNIDqCcJi1pfXVakapfa5HAIoAM2tuH_mkrNjfMnU1MU3U7r1nJPJKG4jYHVyfNg2M080dEP0l40VaAtmMfd9svgA3OR29xF7scj6WGX1udtZjZSj45f0d4WTWl2giqju6mtmeyVD0nnMSV4LgKpk?fife,"工房（見学・展示）, 販売",6-8日,10:00-17:00,0778-65-2209,https://maruhiro-isho.com,https://youtu.be/6Ukjzr8IJ9w?si=EcIzpLLLQW01cVzd
漆器のだるま屋,越前漆器,images/icon-1.png,35.9511162,136.2752523,漆器のだるま屋,"<img src=""https://doc-0o-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/6loqtplihr2eqbdl3iu7a8921c/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGpKtnCCGXryqTYZvjGYb77eiCfFoc6mGDiWMkQ0-PVaBZG_EQjHq9HETujVztK0pt1uSALkZeN_Qm0lFeeocgJ4h3E8Yu9IiGRpTzVTGVmoRL1kEU49H-5JhPcGZ41p09eXwldUeCnSR4p148Y0oaVZNtodGLgUh7Sdwv1vQ_2Lucd3XGB8vtssGn2BlC1KvWgjOSRkrpBm44EGKa2LAcWS7m2RsEnIHlmzBCiiUGzuOnU?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916-1223福井県鯖江市片山町7-8-1<br>参加形態: 販売<br>紹介: 西武福井店の前身である、だるま屋百貨店が昭和3年に開業した頃より近年まで、鯖江・河和田の地で製造された様々な漆器製品を納めて参りました。日々の暮らしにほどよい心地よさをお届けできるよう心掛けています。<br>出展日: 6-8日<br>営業時間: 6日 10:00-12:00 / 13:00-17:00　7・8日 10:00-17:00<br>電話番号: 0778-65-0068<br>Web: https://www.shikki-darumaya.com/<br>YouTube: ",〒916-1223福井県鯖江市片山町7-8-1,西武福井店の前身である、だるま屋百貨店が昭和3年に開業した頃より近年まで、鯖江・河和田の地で製造された様々な漆器製品を納めて参りました。日々の暮らしにほどよい心地よさをお届けできるよう心掛けています。,https://doc-0o-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/6loqtplihr2eqbdl3iu7a8921c/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGpKtnCCGXryqTYZvjGYb77eiCfFoc6mGDiWMkQ0-PVaBZG_EQjHq9HETujVztK0pt1uSALkZeN_Qm0lFeeocgJ4h3E8Yu9IiGRpTzVTGVmoRL1kEU49H-5JhPcGZ41p09eXwldUeCnSR4p148Y0oaVZNtodGLgUh7Sdwv1vQ_2Lucd3XGB8vtssGn2BlC1KvWgjOSRkrpBm44EGKa2LAcWS7m2RsEnIHlmzBCiiUGzuOnU?fife,販売,6-8日,6日 10:00-12:00 / 13:00-17:00　7・8日 10:00-17:00,0778-65-0068,https://www.shikki-darumaya.com/,
錦古里漆器店,越前漆器,images/icon-1.png,35.950664,136.273895,錦古里漆器店,"<img src=""https://doc-0o-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/l18hue98e7ceb0hngecat1pgmc/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGozWX4B0lIZOge__enN-0LooeAYflFvBjashDYyFo6sojDG6YwGGPbmWyLk_e65ui-3i6Tw744eCau3ByxtIPloFO80fYkAysLZXWY3EUvZLSnob9xiWbnMElKTGt1vmw6V0FjD8ChjmlOXzvwpiQJ1bLPrQ_NID9GStjC02d_WLBAVZ0If1mwilkbbjdMi1UKzkaGychvQP5JwUL8JhyRQ71OXj6LXciXrBRRydcnnSso?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916-1222 福井県鯖江市河和田町19-8<br>参加形態: 工房（見学・展示）,販売, ワークショップ<br>紹介: 会社創業100年を超える老舗漆器店です。和食の食器を中心に製造販売を行っております。2019年より、TSUGIと同じ施設内に工房をかまえ、誰でもいつでも、職人が仕事をしている工程を見学できるようになりました。<br>出展日: 6-8日<br>営業時間: 10:00-17:00<br>電話番号: 0778-65-2233<br>Web: <br>YouTube: ",〒916-1222 福井県鯖江市河和田町19-8,会社創業100年を超える老舗漆器店です。和食の食器を中心に製造販売を行っております。2019年より、TSUGIと同じ施設内に工房をかまえ、誰でもいつでも、職人が仕事をしている工程を見学できるようになりました。,https://doc-0o-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/l18hue98e7ceb0hngecat1pgmc/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGozWX4B0lIZOge__enN-0LooeAYflFvBjashDYyFo6sojDG6YwGGPbmWyLk_e65ui-3i6Tw744eCau3ByxtIPloFO80fYkAysLZXWY3EUvZLSnob9xiWbnMElKTGt1vmw6V0FjD8ChjmlOXzvwpiQJ1bLPrQ_NID9GStjC02d_WLBAVZ0If1mwilkbbjdMi1UKzkaGychvQP5JwUL8JhyRQ71OXj6LXciXrBRRydcnnSso?fife,"工房（見学・展示）,販売, ワークショップ",6-8日,10:00-17:00,0778-65-2233,,
駒本蒔絵工房/KOMAYA,越前漆器,images/icon-1.png,35.9491014,136.2741342,駒本蒔絵工房/KOMAYA,"<img src=""https://doc-0g-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/1o5ekp9so151q6m6es2tnud46o/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGo4mgAUDtBj3cuOqrWs6xGYMfnSz2_UI3yMIZBZIdX5sEOHkY0NAx9ciluCqB-Naz471dIud0BlJrKjJJNIsB07U_JnZ0UmEm8T5c2Nnucv373oP4bE1l_hjors1BpmDJVZDh-sD9db68oXrq9xbb94x2YLXCSV86hwqq4tAE4xTxYWJPG3J6Vtgccl-cqkEaIk5zVOIWeVMFDH6xdgwC5k0SFQo2UYsjdqQ3QdPLf98ho?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916-1224 福井県鯖江市莇生田町14-5-1<br>参加形態: 工房（見学・展示）, 販売, ワークショップ<br>紹介: 伝統工芸職人を筆頭に、技と技術を受け継いだ若き職人達がアクセサリーショップをオープン。中庭をぬけて現れるのは隠れ家のような趣きのある工房。伝統を活かした全く新しいアクセサリーにぜひ触れてみてください。<br>出展日: 6-8日<br>営業時間: 10:00-12:00 / 13:00-17:00<br>電話番号: 0778-65-0377<br>Web: <br>YouTube: ",〒916-1224 福井県鯖江市莇生田町14-5-1,伝統工芸職人を筆頭に、技と技術を受け継いだ若き職人達がアクセサリーショップをオープン。中庭をぬけて現れるのは隠れ家のような趣きのある工房。伝統を活かした全く新しいアクセサリーにぜひ触れてみてください。,https://doc-0g-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/1o5ekp9so151q6m6es2tnud46o/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGo4mgAUDtBj3cuOqrWs6xGYMfnSz2_UI3yMIZBZIdX5sEOHkY0NAx9ciluCqB-Naz471dIud0BlJrKjJJNIsB07U_JnZ0UmEm8T5c2Nnucv373oP4bE1l_hjors1BpmDJVZDh-sD9db68oXrq9xbb94x2YLXCSV86hwqq4tAE4xTxYWJPG3J6Vtgccl-cqkEaIk5zVOIWeVMFDH6xdgwC5k0SFQo2UYsjdqQ3QdPLf98ho?fife,"工房（見学・展示）, 販売, ワークショップ",6-8日,10:00-12:00 / 13:00-17:00,0778-65-0377,,
ヤマト工芸,越前漆器,images/icon-1.png,35.945462,136.275659,ヤマト工芸,"<img src=""https://doc-0s-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/l80vi652p3m9lnk0lap6u68lfk/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGrPXemHJKlnm46b8sqo-tQLOu7HsIZZjj4rN2wEhOMDgbYGM_MguRSYSspWoCyDWzfVXLenq27ggUJrl29lPhwKtNJZZ3RT1-eZ9XUG3I_suqJRaoZvfCZqBE16OzHMBBufr2A873Z16N0m7EcEj6tazrp7_wQ0jqylJdwx9qsEMf1zZy6Bpd8BjNjbZ71_KJlrqEDeH4XrGZWp8ui6EECRI4Fw5qsjq_hIOcX0ytT4z2A?fife"" height=""200"" width=""auto"" /><br><br>住所: 〒916-1224 福井県鯖江市莇生田町19-40<br>参加形態: 工房（見学・展示）, ワークショップ<br>紹介: 越前漆器の産地で木地作りを行う会社です。漆器の木地の裁断から組立、塗装までのすべての工程を自社で丁寧に行ってきました。職人の技術と誇りが詰まったブランド、それがyamatojapanです。<br>出展日: 6・7日<br>営業時間: 10:00-12:00 / 13:00-17:00<br>電話番号: 0778-65-1158<br>Web: http://yamatokougei.com/<br>YouTube: ",〒916-1224 福井県鯖江市莇生田町19-40,越前漆器の産地で木地作りを行う会社です。漆器の木地の裁断から組立、塗装までのすべての工程を自社で丁寧に行ってきました。職人の技術と誇りが詰まったブランド、それがyamatojapanです。,https://doc-0s-00-mymaps.googleusercontent.com/untrusted/hostedimage/tjp71pbl755n1d9knaupn39qao/l80vi652p3m9lnk0lap6u68lfk/1696731300000/JZE0f6HJRobklDdF9DDVtADt9cDcsdY3/*/6AJ9UNGrPXemHJKlnm46b8sqo-tQLOu7HsIZZjj4rN2wEhOMDgbYGM_MguRSYSspWoCyDWzfVXLenq27ggUJrl29lPhwKtNJZZ3RT1-eZ9XUG3I_suqJRaoZvfCZqBE16OzHMBBufr2A873Z16N0m7EcEj6tazrp7_wQ0jqylJdwx9qsEMf1zZy6Bpd8BjNjbZ71_KJlrqEDeH4XrGZWp8ui6EECRI4Fw5qsjq_hIOcX0ytT4z2A?fife,"工房（見学・展示）, ワークショップ",6・7日,10:00-12:00 / 13:00-17:00,0778-65-1158,http://yamatokougei.com/,
